Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Royal Tea - Premium,bb Royal,100 g,Rs 49,"['A unique mix of tantalising taste and refreshing aroma awaits you with the tea time talks. This blend of tea has 20% longer leaves, with a smooth aroma and a golden liqueur which enhances the flavour and makes you crave for one more sip, just the way tea was meant to be.']"
 Green Tea - Tulsi Natura,Lipton ,10 pcs,Rs 60,"['• Its not just a cup of tea, its therapy - One Sip at a Time.• Lipton Green Tea is not just a regular cup of chai, we believe its therapy for your body. Wake up to a morning cup of hot Lipton green tea and feel how it leaves you feeling light and active. Awaken your senses - one sip at a time. Lipton Green Tea Bags in Honey Lemon Flavor have this goodness. Choose Lipton Green Tea Honey Lemon as your go-to beverage during the day. Buy Now!• Magic of Green Tea• Green tea is produced when freshly plucked leaves are heated, rolled/cut and then dried. The catechins in the fresh leaves are preserved during the green tea process, making green tea rich in catechins. Also, green tea is typically drunk without milk and sugar and hence gives zero calories as compared to the ordinary chai made with milk and sugar. Available in a Range of Flavors• Lipton offers a range of different flavours to ensure that you are offered variety and enjoyment while drinking tea. Lipton flavours some of its teas with added natural flavours and no artificial flavours are used. You may try Lipton Green tea in Pure & Light (unflavored), Tulsi Natura, Honey & Lemon and Lemon Zest flavors as well, available in pack sizes of 10s and 25s Tea bags. • Next best to Water• Brewed, Unsweetened Lipton Green Tea being 99.5% water is a great way to meet your daily required fluid intake. Staying hydrated is essential to ensure bodily functions are carried out efficiently.Features & Benefits - • Zero Calories - Green Tea, when had without milk or sugar, not only tastes great but contains virtually zero calories. • Next best to water - Brewed, unsweetened Green Tea being 99% water is a great way to meet your daily required fluid intake• Glowing skin - Give your skin a hydrated healthy glow with Green Tea• Heart health - Consumption of Green Tea as a part of a healthy lifestyle may help maintain a healthy heart as it is thought to have a protective effect against cardiovascular diseases.• Simply Delicious flavour and great taste• Soothing aroma of a warm cup of green tea may help you relax.']"
Royal Tea - Masters Blend,bb Royal,100 g,Rs 47.60,"[""As the name suggests, it is truly a tea connoisseur's delight. Sip it and you will know why. Handpicked from the finest plantations of Assam, each tea leaf is a blend of rich flavour and mesmerizing aroma.\r\nSatiate your senses with the rose golden liqueur and supreme flavour.""]"
Black Tea - Indian Masala/Chai,Octavius,100 g,Rs 275,"['An age old classic, the Indian Masala tea from Octavius, is a unique and indigenous concoction. A blend of the finest picks of strong Black leaf tea and fresh and aromatic Indian spices like clove, ginger, black pepper and cardamom. Best Enjoyed with milk and without milk.']"
Green Tea - Tulsi Loose Leaf,Octavius,100 g,Rs 225,"['Octavius Tulsi Green Tea, is a unique combination where both the herbs help in refreshing and energizing the body and mind. It promotes metabolism which is vital for weight management. Green tea and Tulsi offer a vast array of remarkable health benefits including an abundance of antioxidants.']"
Mother's Health & Nutrition Drink - Vanilla Flavour,Horlicks,No Added Sugar,Rs 525,"[""It offers specialised nutrition for pregnant and breastfeeding women. Mother's Horlicks contains Nutrients important for healthy pregnancy and lactation. It contains nutrients that are known to help improve birth weight. It contains DHA and Choline; important for brain development.""]"
Probiotic Health Drink,Yakult,325 ml Pack of 5,Rs 70,['Yakult is a probiotic fermented milk drink that contains over 6.5 billion beneficial bacteria Lactobacillus casei strain Shirota (LcS) in every bottle. Yakult bacteria Lactobacillus casei strain Shirota (LcS) reachs the intestine alive and helps improve the intestinal function and builds immunity. Yakult is sold globally and over 35 million people enjoy the delicious taste of Yakult.']
 Instant Coffee,Bru ,200 g Pouch,Rs 306,"['BRU Instant Coffee was launched in 1968 and was Indias first coffee-chicory mix instant coffee. It is the perfect mix of 70% coffee and 30% chicory and is made from a fine blend of the choicest plantation and Robusta beans. These coffee beans are first roasted to perfection, then the new and enhanced process ensures that the fresh coffee aroma is preserved so that you get a rich coffee taste beyond compare. Bru Instant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With Bru Instant, you can now discover a great coffee experience with your loved ones.  \r\nABOUT BRU  \r\nA part of Hindustan Unilever Ltd. , BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, BRU has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and are freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.']"
Pressery 100% Natural Cold Pressed Juice -  Valencia Orange,Raw Pressery,1 L,Rs 300,"[""Good things come in small packages - you loved our Valencia so we had to make it bigger. Get a sunshine start to your day with freshly squeezed Valencia oranges, loaded with dietary fibres and vitamin C. It's the best orange juice you ever had! This bottle helps you to boost your immunity, protects skin, improves bowel movement.""]"
Cola Zero,Coca Cola,300 ml Tin,Rs 33,"[""The same delicious, uplifting, and refreshing taste of Coca-Cola, with zero sugar. Coca-Cola Zero has the same great Coca-Cola Taste, but No Sugar, ideal for those who like to monitor their calorie intake.\r\nBest known soft drink in the world, in India, Coca-Cola was the leading cola drink till 1977 and then it made a comeback in 1993. Coca-Cola has a taste that refreshes, for a rewardingly uplifting experience. \r\nWhile there's no one quite like you, there's a Coca-Cola for your uniqueness and style. Whether it be a Party Coca-Cola bottle, or a mini, or an ice-cold Diet Coke, or a Coca-Cola Zero sugar in a can, there's a refreshing way to enjoy your own! Try one today.""]"
Bournvita - Chocolate Health Drink,Cadbury,750 g Pouch,Rs 302,"['This Cadbury\xa0Bournvita now with inner strength formula packed with nutrients that are known for maintaining strong bones, strong muscles and a healthy brain. Cadbury\xa0Bournvita provides the same great tasty\xa0and delicious\xa0chocolate drink enriched with vitamin D, iodine, iron, protein, and phosphorus. Your kids will enjoy the chocolate flavour, which is loaded with yummy taste and a lot of goodness.']"
Sparkling Water - Club Soda,Kinley,1.25 L PET Bottle,Rs 28,"['When it comes to safety and assurance of quality, Kinley soda water is the go-to choice. Launched in 2002, the bubbly zing of Kinley soda makes a perfect mixer for your mocktails and is the perfect companion to your imagination with the extra punch!\r\nThis Coca-Cola product goes through an intensive 10 Step filtration method before reaching you. The consistency and purity of the carbonated water is maintained using processes including disinfection, micron filtration, Reverse Osmosis, and mineral dozing besides other rigorous filtration procedures. Also containing added minerals, Kinley can be always trusted on.']"
 Milk - Soya,Sofit ,Vanilla,Rs 126.10,"['Want to do more with your day, Make the Vanilla flavored soya milk a part of your daily diet plan. Enriched with Soya Proteins, Omega-3, Vitamins & Calcium, it is a healthy drink for everyone in the family. Sofit Soya milk is cholesterol & gluten free, and an ideal pick for the lactose intolerant & vegans. Available in 4 more delicious flavors: Chocolate, Mango, Kesar Pista, & Coffee Mocha']"
Health & Nutrition Drink - Classic Malt,Horlicks,500 g Carton,Rs 229,"['Health Drink that has nutrients to support immunity.Horlicks is Clinically proven to improve 5 signs of growth. Clinically proven to make kids Taller, Stronger & Sharper. Scientifically proven to improve Power of Milk']"
Pressery Almond Milk Plain - Unsweetened,Raw Pressery,Lactose Free,Rs 310,"['Almond milk is derived from plants, which means no animals were harmed in the making of this milk. It has no cholesterol or saturated fat and is low in calories compared to regular milk. It is packed with good-for-you fats and is known for its Vitamin D and Calcium content. This dairy substitute aids in the overall strengthening of bones and toning of muscles.']"
 Milk - Soya,Sofit ,Sugar Free,Rs 126.10,"['Sugar Free SOFIT Soya Milk is a great way to kick-start your day. It is a delicious and healthy drink for everyone in the family. This soya milk is enriched with Soy Proteins, Omega-3, Vitamins & Calcium.  It is cholesterol and gluten free and an ideal pick for the lactose intolerant & vegans.  Also available in 5 Delicious Flavors: Chocolate, Mango, Kesar Pista, Vanilla & Coffee Mocha']"
Boat Coconut Water,Paper Boat,4x200 ml Multipack,Rs 160,['Best to drink easy to use. Get the real thrill of fruit with new coconut water']
 Filter Coffee - Green Label,Bru ,500 g,Rs 168,"['Loved by consumers since 1962, Bru Green Label Coffee is Indias first packaged filter coffee with a perfect mix of 53% coffee and 47% chicory. Its lightly roasted ground coffee beans give out a perfect decoction for a rich & smooth flavourful cup that helps rejuvenate your senses. The nitro flush packaging retains its fresh flavour and aroma providing rich tasteful notes. Kick-start your day with a cup of fresh and aromatic Bru Green Label Coffee. So filter a cup, unwind and relax as you enjoy the coffee breaks you deserve. Buy Bru Green Label Coffee now, right here. \r\nABOUT BRU: A part of Hindustan Unilever ltd., BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, Bru has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.']"
Tender Coconut Water,Cocojal,200 ml Pack of 6,Rs 240,"['Cocojal Tender Coconut Water is bottled natural coconut water which packs all the goodness of natural coconut water. Added to antioxidants, which has anti-ageing properties this refreshing taste and the delicate sweetness make it an obvious and definitely healthier alternative than cold drinks and sodas. In fact, if you feel drained and lack energy, this will replenish the electrolytes.']"
Drinking Water With Added Minerals,Kinley,1 L PET Bottle,Rs 20,"[""When it comes to safety and assurance of quality, Kinley water bottle is the go-to choice. Promising the assurance of clean and safe drinking water, Kinley mineral water has been a trusted choice for Indians since 2000. This Coca-Cola product goes through an intensive 10 Step filtration method before reaching you. The consistency and purity of Kinley's distilled water are maintained using processes including disinfection, micron filtration, reverse osmosis, and mineral dozing beside other rigorous filtration procedures. Also containing added minerals, Kinley can be always trusted on.""]"
Butter Milk - Spiced,Nandini,200 ml Carton,Rs 10,"['Nandini spiced Buttermilk is an energizing health drink. It is ended from superiority curds and is blended with fresh green chillies, fresh ginger and green coriander leaves. Nandini spiced Buttermilk promotes fitness and easy digestion.']"
 Classic Coffee Powder,Nescafe ,100 g Glass Jar,Rs 290,"[""To take your coffee experiences to the next level, NESCAFE, the world's favourite instant coffee brand, brings forth a rich and aromatic coffee in the form of NESCAFE Classic. The unmistakable flavour of NESCAFE Classic is what makes this signature coffee so loved all over the world. \r\nStart your day right with the first sip of this classic 100% pure coffee and let the intense taste and wonderfully refreshing aroma of NESCAFE instant coffee awaken your senses to new opportunities. With over 75 years of experience and working with coffee farmers, to help them grow more sustainable coffee through improved crop techniques, we deliver the best coffee produced by the best selecting, roasting and blending methods.\r\nStorage Recommendation: Do store the product in a cool, dry and hygienic place. To ensure lasting freshness, close the lid tightly after every use. Always use a dry spoon.""]"
Nutritional Powder - Complete & Balanced,Pediasure,Premium Chocolate,Rs 490.50,"['Pediasure Premium Chocolate Is A Most Important Moms Care Product And A Complete And Balanced Nutrition Diet For Your Small Choosy Eater. It Is A Strong Blend Of Prebiotics And Probiotics That Make Stronger Your ChildÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢S Immunity. It Is A Systematically Planned Formula With 37 Vital Nutrients, Which Gives Complete And Balanced Nutrition For Children 2 Years And Above.']"
Tea Premium Leaf Tea,Tata Tea Premium,250 g,Rs 110,['Indias No.1 tea brand']
 Mineral Water,Bisleri ,250 ml Pack of 48,Rs 288,"['Bisleri Mineral Water is definitely one of the healthiest kinds of bottled water and drinking it can enhance your well-being. This water is rich in minerals such as magnesium, calcium and iron. It is free of preservatives or any type of added chemicals. Those who are planning to lose weight should switch to mineral water as it does not contain harmful ingredients present in soda and cold drinks.']"
 Milk - Soya,Sofit ,Chocolate,Rs 126.10,"['Get set with this delicious chocolate flavored Soya Milk by Sofit. Be it a day filled with work, or just brimming with fun, do more with Sofit!\xa0Rich in Soy Proteins, Omega-3, Vitamins & Calcium, this delicious drink keeps you and your family healthy & fit. \xa0Sofit Soya Milk is cholesterol free & gluten free, and an ideal pick for the lactose intolerant & vegans. Available in 4 more delicious flavors: Mango, Kesar Pista, Vanilla & Coffee Mocha.']"
Bakri Leaf Tea,Wagh Bakri,500 g,Rs 220,['The tea is made of fine quality tea leaves specially handpicked from selected quality gardens. The brand offers region specific blends for supreme consumer satisfaction.']
Nutrition Drink - Health,Boost,Energy & Sports,Rs 322,"['Nourishing beverage that helps build stamina. Boost has nutrients which help in maintenance of optimal bone & muscle strength. Boost is enriched with Envita Nutrients (Iron, Vitamin A, C, Folic Acid, B12 and B6) that help transport oxygen more effectively in the body.']"
Fruit Juice - Delight,Tropicana,Mixed Fruit,Rs 108,"['Enjoy the refreshing and delicious taste of mixed fruits!\nA special 6-layer protection gives you the goodness of tasty, ready to serve fruit beverage in every glass of Tropicana.\n\nDid You Know?\nFruits are an important part of a balanced daily diet and provide the body with nutrients which are good for healthy living.']"
Up Soft Drink,Thums Up,1.75 L,Rs 75,"['India’s unbeaten cold drink choice for decades - raise the excitement of any occasion to toofani levels with power-packed Thums Up.\r\nThums Up’s strong taste packed with a punch of soda has often defining an adventurous aspect of the drinker’s personality. These people have tasted the thunder and will have it no other way. \r\nYou can too ride the epic wave of excitement and adventure with Thums Up – anytime, anywhere! The strong taste of Thums Up drink is perfect for when you really want to taste the thunder and bring out the toofani side of yours.']"
 Sunrise Instant Coffee - Chicory Mixture,Nescafe ,50 g Pouch,Rs 90,"['Nescafe Sunrise is an instant coffee-chicory mixture made from 70% coffee powder and 30% chicory. This instant coffee is made with the fine blends of Arabica and Robusta coffee beans from the farms of South India. These beans are slow-roasted in rotating drum roasters till they develop the perfect aroma. Nestle’s world-class technology then ensures this aroma is retained all through the coffee-making process and finally capture in aroma granules. This soluble coffee is easy to use, ensuring coffee-making doesn’t seem like an inconvenience. So, rise up to the awakening taste and rich aroma of NESCAFE Sunrise coffee and let new opportunities come to you.\xa0THE NESCAFE PLAN: We are committed to using sustainable processes in our coffee production and taking care of our planet by introducing better farming techniques. Nescafe works directly with 1,70,000 coffee farmers every year and helps them grow better quality, delicious coffee which leads to an increase in their income.']"
Pressery 100% Natural Cold Pressed Juice -  Sugarcane,Raw Pressery,1 L,Rs 180,"['Get energized with this refreshing cold-pressed sugarcane juice enhanced with the flavours of tangy lemon and zingy ginger, now available in 1 Ltr - for you and your family. This bottle is your natural energizer, improves digestion, promotes a healthy liver and is your go-to hydration drink.']"
 Milk Shake - Chocolate,Hersheys ,200 ml,Rs 32.20,"['EAN Code: 8901071211284  Manufacturer Name & Address : Hershey India Private Limited, Plot No. 5, New Industrial Area No. 1, Mandideep, Dist Raisen 462046, MP, India  Best before 22-08-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com']"
Tea Kanan Devan Tea,Tata Tea Kanan Devan,500 g,Rs 149,['Tata Tea Kanan Devan offers a strong cup of tea.']
Soda - Original Ginger Ale,Schweppes,300 ml Can,Rs 45,"['Schweppes Ginger Ale is a bubbly and refreshing soda drink. Its distinctive taste compliments and adds great flavour to all mocktails. It can also be enjoyed on the rocks, as a standalone soft drink.\r\nThe bright ginger taste of this sparkling water beverage is ideal for a classic drinking sensation or as an elegant mixer. So go on, do yourself a favour and enjoy the crisp, refreshing bubbles while relaxing at home or on the go. It will be a ritual to look forward to.']"
 Honey Lemon Green Tea Bags,Lipton ,35 g (25 Bags x 1.4 g each),Rs 135,"['It’s not just a cup of tea, its therapy - One Sip at a Time. Lipton Green Tea is not just a regular cup of chai, we believe it’s a therapy for your body. Wake up to a morning cup of hot Lipton green tea and feel how it leaves you feeling light and active. Awaken your senses - one sip at a time. Buy Now!\xa0Magic of Green Tea Green tea is produced when freshly plucked leaves are heated, rolled/cut and then dried. The catechins in the fresh leaves are preserved during the green tea process, making green tea rich in catechins. Also, green tea is typically drunk without milk and sugar and hence gives zero calories as compared to the ordinary chai made with milk and sugar.\xa0Available in a range of flavours, Lipton offers a range of different flavours to ensure that you are offered variety and enjoyment while drinking tea. Lipton flavours some of its teas with added natural flavours and no artificial flavours are used.\xa0You may try Lipton Green tea in Pure & Light (unflavored), Tulsi Natura, Honey & Lemon and Lemon Zest flavours as well, available in pack sizes of 10s and 25s Teabags.']"
Bournvita - Chocolate Health Drink,Cadbury,500 g Jar,Rs 217,"['This Cadbury\xa0Bournvita now with inner strength formula packed with nutrients that are known for maintaining strong bones, strong muscles and a healthy brain. Cadbury\xa0Bournvita provides the same great tasty\xa0and delicious\xa0chocolate drink enriched with vitamin D, iodine, iron, protein, and phosphorus. Your kids will enjoy the chocolate flavour, which is loaded with yummy taste and a lot of goodness.']"
Tea,Society,250 g Pouch,Rs 115,['The society tea is processed by utilizing premium quality tea leaves and advanced technology in adherence with industry standards.\r\nFeatures:\r\n• Herbal\r\n• Good for health\r\n• Hygienically packed']
Tea,Society,250 g Pouch,Rs 115,['The society tea is processed by utilizing premium quality tea leaves and advanced technology in adherence with industry standards.\r\nFeatures:\r\n• Herbal\r\n• Good for health\r\n• Hygienically packed']
Indian Tonic Water,Schweppes,300 ml Can,Rs 45,"['Schweppes Tonic Water, made with quinine and other ingredients, has a distinctive taste. Schweppes brings you finest quality mixers for your drinking pleasure, to be enjoyed with mocktails or as standalone soft drinks. \r\nOriginated in 1783, Schweppes continues to be one of the premium mixer brands while everything is changing so fast. So go on, do yourself a favour and enjoy the crisp, refreshing bubbles while relaxing at home or on the go. It will be a ritual to look forward to.']"
 Instant Coffee,Bru ,100 g,Rs 162,"['BRU Instant Coffee was launched in 1968 and was Indias first coffee-chicory mix instant coffee. It is the perfect mix of 70% coffee and 30% chicory and is made from a fine blend of the choicest plantation and Robusta beans. These coffee beans are first roasted to perfection, then the new and enhanced process ensures that the fresh coffee aroma is preserved so that you get a rich coffee taste beyond compare. Bru Instant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With Bru Instant, you can now discover a great coffee experience with your loved ones.  \r\nABOUT BRU  \r\nA part of Hindustan Unilever Ltd. , BRU Coffee is Indias largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, BRU has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and are freshly roasted, to serve a great cup of rich, irresistible coffee. BRU has four distinct offerings - BRU Instant and BRU Gold in Instant coffee, BRU Green Label and BRU Select in Filter coffee. BRU-ed with love and blended with passion, BRU Coffee celebrates authenticity in coffee and relationships.']"
Delight Fruit Juice - Mango,Tropicana,200 ml Carton,Rs 20,"['Enjoy the refreshing and delicious taste of mangoes!\r\nA special 6-layer protection gives you the goodness of tasty, ready to serve fruit beverage in every glass of Tropicana.\r\nDid You Know?\r\nMango, believed to have originated in the sub-Himalayan plains of the Indian subcontinent, is a member of the cashew family of flowering plants & one of the good source of potassium among fruits.']"
Traditional Filter Coffee Decoction,Id,20 ml,Rs 10,"['iD presents a simple solution for a perfect filter coffee fix. iD Traditional Filter Coffee Decoction is made of an optimum blend of 80% coffee and 20% chicory. The coffee is plucked, roasted and ground before being drip-brewed the authentic way, and has no added preservatives, colour or artificial flavours. Just snip, pour, mix with whole milk, and enjoy the perfect cup of nostalgia, no matter where you are!']"
Soft Drink,Sprite,1.75 L Bottle,Rs 65,"['Sprite is a clear lime drink truly meant to quench your thirst & refresh you since 1999. Now, don’t confuse ‘thirst’ with anything else under the sky! It’s not your agony aunt but just a drink that refreshes you. Be it summers or winters, Sprite will always keep you refreshed. It has true feelings for your thirst. Believe it!\r\nIts crisp lemon-lime taste makes you feel like you’ve just stepped out of a cold shower. Clear Hai? \r\nYou can’t drink this refreshing Sprite by just looking at the page so Buy Now!']"
Lassi,Amul,250 ml Carton,Rs 20,['Amul Lassi is a refreshing milk-based natural drink. It is an easy to use delicious drink that refreshes you immediately.']
Soft Drink - Black,Pepsi,Slim,Rs 25,['Pepsi brings Pepsi Black  - a zero calorie cola with maximum taste.']
Juice - Fruit Power,Real,Litchi,Rs 105,"['Born from the peerless, world renowned Muzaffarpur Litchis , these deliciously succulent litchis are an annual delight for litchi lovers who eagerly wait for the fruit every year.']"
Fruit Juice - Orange Delight,Tropicana,6x200 ml Multipack,Rs 108,"['Enjoy the refreshing and delicious taste of oranges with this Orange Delight by Tropicana! Its special 6-layer protection gives you the goodness of this tasty, ready-to-serve fruit beverage in every glass of Tropicana.Did You Know? Oranges are also known as Tangerines and Mandarins, this tasty citrus fruit is a great refresher.']"
Fruit Power Juice - Cranberry,Real,2x1 L Multipack,Rs 220,['Real Cranberry Fruit Power is the loved cranberry fruit beverage in the country. It has been well accepted as the most preferred base for many delightful mocktails (like cranberry fruit punch)']
Up Nimbooz Nimbooz Soft Drink - With Real Lemon Juice,7 Up Nimbooz,350 ml Bottle,Rs 20,"['Made with real lemon juice,Â\xa07UPÂ\xa0Nimbooz adds to the lemon credentials of theÂ\xa07UPÂ\xa0portfolio.']"
Juice - Mango,Maaza,1.5 L,Rs 70,"[""Maaza, in India, is synonymous with the very spirit of mangoes. Enjoy the deliciously thick, sweet and a delightful mango experience with a chilled glass of Maaza, a quality product of The Coca-Cola Company.\r\nMaaza, the indulging, ready-to-serve mango drink, is made from mango pulp and handpicked Alphonso. The drink is universally loved for its taste, colour, thickness and wholesome properties. This deliciously authentic mango fruit drink is the mango lover's first choice and if you are one, sit back and open a Maaza to experience Aam ka Magic for yourself.""]"
